Tipo_Cambio,ID_Padre,SHA256_Texto_Padre,Fecha,IDs_Antes,Actores_Antes,ID_Actual,Actor_Actual,Fuente_Actor,Tipo_Acta,ID_Turno,Relacion_Turno,Alertas_Actuales,Texto_Actual
SOLO_METADATOS,14,6792502ab9eed5ccfe5c098a7c1da6ede20c10af3703e1d2f664ab48e3519085,2005-01-11,14,Esteban Jadresic Marinovic,14,Esteban Jadresic Marinovic,CONTEXTO_REVISADO,,RPM-2005-01-11:T12,SIN_CONTINUIDAD_CONFIRMADA,,"El Gerente de División Internacional, señor Esteban Jadresic, en relación a lo que señala el señor Herrera, expresa que al final el riesgo es relativo a quien está demandando los papeles, lo que quiere decir que en los papeles largos a diez años un inversionista debiera tener un riesgo. Agrega que la secuencia de inversión de papeles nominales más cortos o incluso de papeles largos, es más riesgoso que tener el papel real y eso quiere decir que la compensación inflacionaria en general debería ser menor que la expectativa de inflación implícita, porque hay que darle un premio adicional a los papeles nominales para poder satisfacer a los mismos demandantes. Entonces indica, sería normal, bajo esa hipótesis que la compensación inflacionaria esté bajo el 3%, si es que es una tasa creíble de inflación a largo plazo."
SOLO_METADATOS,178,652f4f30978b72c57dba90549181aedf6c1e6c6dfcdc80b4c72295d2868a45c4,2005-03-10,179;180,Rodrigo Valdés Pulido;Vittorio Corbo Lioi,179,Rodrigo Valdés Pulido,ANAFORA_LOCAL,,RPM-2005-03-10:T27,SIN_CONTINUIDAD_CONFIRMADA,ATRIBUCION_POR_ANAFORA,"A l respecto, el señor Gerente de División señala que; 1. En la reunión de política monetaria de febrero, el Consejo decidió aumentar la tasa de interés de política en 25 puntos base a 2,75%. En esta decisión se consideró que las distintas mediciones de la tendencia inflacionaria seguían aumentando gradualmente, que el cierre de las brechas de capacidad seguía progresando y se mantenía un marcado estímulo monetario. El ajuste de la tasa de política monetaria era coherente con la estrategia de normalización pausada del impulso monetario iniciada en septiembre del año pasado y reafirmaba lo previsto en el Informe de Política Monetaria de enero, al mismo tiempo que reducía el riesgo de ajustes abruptos en el futuro. 2. La minuta de antecedentes preparada para esta reunión da cuenta de que se sigue desarrollando un cuadro macroeconómico similar al previsto en el Informe de Política Monetaria, el que incluye un ritmo de crecimiento de la actividad mayor que el crecimiento potencial y una inflación de tendencia que gradualmente vuelve al rango meta gracias a una normalización pausada de la política monetaria. 3. En efecto, los últimos antecedentes disponibles confirman que la inflación de tendencia sigue aumentando lentamente, a pesar de los vaivenes que exhibe la inflación mensual, los que se explican por cambios en las tarifas reguladas. A su vez, las distintas medidas de expectativas de inflación han continuado normalizándose, llegando a cerca de 3% las de m ayor plazo, mientras los costos laborales y las remuneraciones también han repuntado levemente. Por su parte, el crecimiento de la actividad y del empleo presentan velocidades de expansión instantánea algo menores que en meses pasados, pero aum entos anuales aún superiores a sus tendencias. Los indicadores de consumo se mantienen robustos, al igual que las expectativas de hogares y empresas. Las mayores diferencias con respecto al escenario base se dan en las importaciones de bienes de capital, que siguen sorprendiendo al no dar muestras de atenuar su marcado dinamismo, y en los precios del cobre y del petróleo, que se han mantenido por encima de lo proyectado, lo que motiva revisiones al alza de sus trayectorias esperadas. También resalta el aumento de las tasas de interés de largo plazo en Estados Unidos de América. 4. Con estos antecedentes, considerando el aumento de la tasa de interés de la reunión pasada, las opciones más plausibles son mantener la tasa de política monetaria o aum entarla en 25 puntos base. 5. Al aum entar su sintonía con el último escenario de proyecciones, los antecedentes acum ulados son coherentes con mantener la estrategia de normalización pausada de la política monetaria aplicada desde septiembre pasado. El escenario alternativo de persistencia en las noticias positivas de actividad, por encima del escenario central — que se discutió en el último par de meses y que podría justificar un leve aumento del ritmo de normalización— , parece ahora algo menos probable. En el otro extremo, las novedades tam poco apoyan la idea de reducir el ritmo de normalización. De hecho, la inflación continúa un curso como el previsto, en un escenario que incluye una gradual normalización de la política monetaria. 6. Como se ha discutido en otras oportunidades, en la estrategia de normalización pausada de la política monetaria tienen cabida tanto alzas sucesivas durante algunos meses como pausas en otros, siendo la acumulación de antecedentes mes a mes un elemento fundam ental para definir el ritmo preciso de los ajustes. En este marco, luego de dos mes consecutivos en que se aumentó la tasa de política monetaria, es posible justificar m antener la tasa de política monetaria. La ausencia de novedades mayores en la trayectoria de la inflación y de la actividad apoyan esta alternativa, al igual que la moderación del rápido crecimiento que exhibian algunos indicadores de actividad y empleo. El hecho de que los costos laborales continúen en una trayectoria acotada igualmente sugiere que se puede realizar una pausa. Finalmente, el riesgo de que tres alzas sucesivas se interpreten como un aumento del ritmo de normalización por encima del que se ha considerado como adecuado para el escenario más probable, también respalda esta opción. 7. Por otra parte, también es posible justificar un aumento de la tasa de política monetaria si se pondera más el riesgo de que persistan los mayores precios del petróleo y del cobre, con presiones de costo directas del primero y un posible panorama de mayor actividad del segundo. A esto se suma el vigor que muestran las importaciones de bienes de capital, que pueden señalar un ciclo expansivo de la economía más pronunciado. Sin embargo, considerando que la inflación actualmente se ubica cerca del piso del rango meta, se puede argumentar que no es necesario tomar acciones preventivas ante riesgos que aún no se materializan y cuyos efectos cuantitativos sobre la inflación dependen críticamente de sus consecuencias sobre terceras variables, incluyendo el tipo de cambio, el PIB efectivo y el potencial, 8. También es posible justificar un aumento de la tasa de política monetaria en esta reunión considerando que la política monetaria continúa siendo considerablemente expansiva a pesar de los ajustes ya realizados. Por ejemplo, las tasas reajustables a cinco y diez años han disminuido cerca de 60 puntos base desde fines de diciembre, mientras la compensación inflacionaria ha aumentado entre 50 puntos base y 80 puntos base, según el plazo, desde comienzos de enero. Con todo, cabe destacar que durante el último mes la curva forward sí ha mostrado un desplazamiento acotado, cercano a 25 puntos base para el horizonte de política. 9. Finalmente, cabe destacar que para esta reunión la mayoría de las encuestas indican que poco más de la mitad de los agentes interrogados no espera cambios de la tasa de política monetaria, por lo que la mantención no debería tener consecuencias mayores sobre los precios de los activos y las expectativas futuras de política monetaria. La excepción es la encuesta a mesas de dinero del Banco Central de Chile, en que una mayoría espera un aumento de 25 puntos base."
SOLO_METADATOS,178,652f4f30978b72c57dba90549181aedf6c1e6c6dfcdc80b4c72295d2868a45c4,2005-03-10,179;180,Rodrigo Valdés Pulido;Vittorio Corbo Lioi,180,Vittorio Corbo Lioi,SUJETO_ROL_NOMBRE,,RPM-2005-03-10:T28,INICIO_EXPLICITO,,"El Presidente, don Vittorio Corbo ofrece la palabra para comentarios."
ESTRUCTURAL,641,7d8b40fbdb92b4a37db1c001784df62a618c1242134f8ab827492bd3369b80b1,2006-04-13,839,Manuel Marfán Lewis,839,Manuel Marfán Lewis,SUJETO_ROL_NOMBRE,,RPM-2006-04-13:T39,INICIO_EXPLICITO,,"El Consejero señor Manuel Marfán, señala que le parece consistente lo que se está haciendo en esta materia. Por otra parte, en relación a la proyección de inflación, el Consejero señor Manuel Marfán pide que le recuerden las fechas de estas encuestas."
ESTRUCTURAL,641,7d8b40fbdb92b4a37db1c001784df62a618c1242134f8ab827492bd3369b80b1,2006-04-13,839,Manuel Marfán Lewis,840,Rodrigo Valdés Pulido,SUJETO_ROL_SESION,,RPM-2006-04-13:T40,INICIO_EXPLICITO,,El Gerente de División de Estudios comenta que el cierre de éstas es con el más tardío del IMACEC o el IPC.
SOLO_METADATOS,1756,82ecad4950a7c495754f614feb390b2ce252b64caa4fe5e0e1ea6c3df14f00e5,2008-04-10,2384,Claudio Soto Gamboa,2385,Claudio Soto Gamboa,SUJETO_ROL_NOMBRE,,RPM-2008-04-10:T12,INICIO_EXPLICITO,,"El Gerente Interino señor
Claudio Soto indica que se trata básicamente de productos relacionados con minería."
SOLO_METADATOS,2220,c647f47ec64ddaa910485cc65bd47e481e4aadd23ec31dc06255fe0e4085f899,2008-12-11,3048;3049,Pablo García Silva;Sebastián Claro Edwards,3049,Pablo García Silva,CONTEXTO_REVISADO,,RPM-2008-12-11:T61,SIN_CONTINUIDAD_CONFIRMADA,,"El señor Pablo García, con el propósito de recordar cuál es el ejercicio que se efectuó respecto a la elaboración de las proyecciones, hace presente que se evaluó la respuesta de la economía al shock crediticio del tercer trimestre y parte del cuarto, suponiendo una reacción de la demanda interna parecida a la que se observó a principios del 98 y a la que se vio el año 2002, por lo tanto, factualmente será parecida la proyección."
SOLO_METADATOS,2220,c647f47ec64ddaa910485cc65bd47e481e4aadd23ec31dc06255fe0e4085f899,2008-12-11,3048;3049,Pablo García Silva;Sebastián Claro Edwards,3050,Sebastián Claro Edwards,SUJETO_ROL_NOMBRE,,RPM-2008-12-11:T62,INICIO_EXPLICITO,,"En cuanto a la información entregada por el Gerente de Análisis Macroeconómico respecto de la apreciación del tipo de cambio, el Consejero señor Sebastián Claro consulta si metodológicamente la convergencia de dicho tipo de cambio hacia los valores estimados en el modelo de mediano plazo, se produce a partir del sexto mes o siempre a contar del mes cero."
ESTRUCTURAL,2622,5426afc76089e253b26fd2f323058ac46d92490efc1ff8e87529fa762600108d,2009-07-09,3721;3722;3723;3724,Enrique Marshall Rivera;Claudio Soto Gamboa;José De Gregorio Rebeco;Pablo García Silva,3722,Enrique Marshall Rivera,SUJETO_ROL_NOMBRE,,RPM-2009-07-09:T45,INICIO_EXPLICITO,,"El Consejero señor Enrique Marshall señala que, en su opinión, más importante que discutir la serie de proyecciones, el aspecto central está en si acaso se va a producir la recuperación en el segundo semestre y cuál va a ser el grado. Agrega,que con la proyección de la economia, lo más probable es que se cierre el año con cifras por debajo de lo esperado. Para el referido Consejero, lo fundamen tal fue el mensaje transmitido por el Sanco en mayo, en cuanto a que habrá recuperación económica con cierta intensidad y que el riesgo en este punto reside en la potencia que va a tener ."
ESTRUCTURAL,2622,5426afc76089e253b26fd2f323058ac46d92490efc1ff8e87529fa762600108d,2009-07-09,3721;3722;3723;3724,Enrique Marshall Rivera;Claudio Soto Gamboa;José De Gregorio Rebeco;Pablo García Silva,3723,José De Gregorio Rebeco,CONTEXTO_REVISADO,,RPM-2009-07-09:T46,SIN_CONTINUIDAD_CONFIRMADA,,"A juicio del Presidente José De Gregorio, esa pregunta es relevante en el caso del -2,1% correspondiente al tercer trimestre, el que de acuerdo con lo que se puede deducir, asciende a un 4,2% anualizado."
