Fecha,Tasa_Antes,Tasa_Despues,Delta_PB,IDs_Evidencia,Formulas_Contrastadas
2011-08-18,5.25,5.25,0,6112;6113,3
2011-09-15,5.25,5.25,0,6182;6183,3
2011-10-13,5.25,5.25,0,6267;6268,3
2011-11-15,5.25,5.25,0,6357;6358,3
2011-12-13,5.25,5.25,0,6428;6429,3
2012-01-12,5.25,5.0,-25,6498;6499,3
2012-02-14,5.0,5.0,0,6588;6589,3
2012-03-15,5.0,5.0,0,6685;6686,3
2012-04-17,5.0,5.0,0,6760;6766,3
2012-05-17,5.0,5.0,0,6835;6836,3
2012-06-14,5.0,5.0,0,6892;6893,3
2012-07-12,5.0,5.0,0,6980;6981,3
2012-08-16,5.0,5.0,0,7051;7052,3
2012-09-13,5.0,5.0,0,7116;7117,3
2012-10-18,5.0,5.0,0,7197;7198,3
2012-11-13,5.0,5.0,0,7272;7273,3
2012-12-13,5.0,5.0,0,7329;7330,3
2013-01-17,5.0,5.0,0,7400;7401,3
2013-02-14,5.0,5.0,0,7483;7484,3
2013-03-14,5.0,5.0,0,7547;7548,3
2013-04-11,5.0,5.0,0,7617;7618,3
2013-05-16,5.0,5.0,0,7676;7677,3
2013-06-13,5.0,5.0,0,7752;7753,3
2013-07-11,5.0,5.0,0,7827;7828,3
2013-08-13,5.0,5.0,0,7893;7894,3
2013-09-12,5.0,5.0,0,7964;7965,3
2013-10-17,5.0,4.75,-25,8014;8015,3
2013-11-19,4.75,4.5,-25,8069;8070,3
2013-12-12,4.5,4.5,0,8132;8133,3
2014-01-16,4.5,4.5,0,8184;8185,3
2014-02-18,4.5,4.25,-25,8256;8257,3
2014-03-13,4.25,4.0,-25,8329,2
2014-04-17,4.0,4.0,0,8413;8414,3
2014-05-15,4.0,4.0,0,8477;8478,3
2014-06-12,4.0,4.0,0,8553;8555;8556,4
2014-07-15,4.0,3.75,-25,8610;8611,3
2014-08-14,3.75,3.5,-25,8669;8670,3
2014-09-11,3.5,3.25,-25,8729;8730,3
2014-10-16,3.25,3.0,-25,8793;8794,3
2014-11-18,3.0,3.0,0,8835;8836,3
2014-12-11,3.0,3.0,0,8871;8872,3
2015-01-15,3.0,3.0,0,8926;8927,3
2015-02-12,3.0,3.0,0,8980;8981,3
2015-03-19,3.0,3.0,0,9038;9039,3
2015-04-16,3.0,3.0,0,9113;9114,3
2015-05-14,3.0,3.0,0,9179;9180;9184,3
2015-06-11,3.0,3.0,0,9255;9256,3
2015-07-14,3.0,3.0,0,9318;9319,3
2015-08-13,3.0,3.0,0,9387;9388,3
2015-09-15,3.0,3.0,0,9469;9471;9472,4
2015-10-15,3.0,3.25,25,9550;9551,3
2015-11-12,3.25,3.25,0,9608;9609,3
2015-12-17,3.25,3.5,25,9689;9690,3
