Fecha,Tasa_Antes,Tasa_Despues,Delta_PB,IDs_Evidencia,Formulas_Contrastadas
2011-08-18,5.25,5.25,0,6113;6114,3
2011-09-15,5.25,5.25,0,6183;6184,3
2011-10-13,5.25,5.25,0,6268;6269,3
2011-11-15,5.25,5.25,0,6358;6359,3
2011-12-13,5.25,5.25,0,6429;6430,3
2012-01-12,5.25,5.0,-25,6499;6500,3
2012-02-14,5.0,5.0,0,6589;6590,3
2012-03-15,5.0,5.0,0,6686;6687,3
2012-04-17,5.0,5.0,0,6762;6768,3
2012-05-17,5.0,5.0,0,6838;6839,3
2012-06-14,5.0,5.0,0,6896;6897,3
2012-07-12,5.0,5.0,0,6985;6986,3
2012-08-16,5.0,5.0,0,7057;7058,3
2012-09-13,5.0,5.0,0,7122;7123,3
2012-10-18,5.0,5.0,0,7204;7205,3
2012-11-13,5.0,5.0,0,7280;7281,3
2012-12-13,5.0,5.0,0,7338;7339,3
2013-01-17,5.0,5.0,0,7410;7411,3
2013-02-14,5.0,5.0,0,7494;7495,3
2013-03-14,5.0,5.0,0,7559;7560,3
2013-04-11,5.0,5.0,0,7630;7631,3
2013-05-16,5.0,5.0,0,7690;7691,3
2013-06-13,5.0,5.0,0,7767;7768,3
2013-07-11,5.0,5.0,0,7843;7844,3
2013-08-13,5.0,5.0,0,7910;7911,3
2013-09-12,5.0,5.0,0,7982;7983,3
2013-10-17,5.0,4.75,-25,8033;8034,3
2013-11-19,4.75,4.5,-25,8089;8090,3
2013-12-12,4.5,4.5,0,8153;8154,3
2014-01-16,4.5,4.5,0,8206;8207,3
2014-02-18,4.5,4.25,-25,8279;8280,3
2014-03-13,4.25,4.0,-25,8352,2
2014-04-17,4.0,4.0,0,8437;8438,3
2014-05-15,4.0,4.0,0,8502;8503,3
2014-06-12,4.0,4.0,0,8578;8580;8581,4
2014-07-15,4.0,3.75,-25,8636;8637,3
2014-08-14,3.75,3.5,-25,8695;8696,3
2014-09-11,3.5,3.25,-25,8756;8757,3
2014-10-16,3.25,3.0,-25,8821;8822,3
2014-11-18,3.0,3.0,0,8864;8865,3
2014-12-11,3.0,3.0,0,8901;8902,3
2015-01-15,3.0,3.0,0,8956;8957,3
2015-02-12,3.0,3.0,0,9010;9011,3
2015-03-19,3.0,3.0,0,9068;9069,3
2015-04-16,3.0,3.0,0,9144;9145,3
2015-05-14,3.0,3.0,0,9211;9212;9216,3
2015-06-11,3.0,3.0,0,9288;9289,3
2015-07-14,3.0,3.0,0,9351;9352,3
2015-08-13,3.0,3.0,0,9420;9421,3
2015-09-15,3.0,3.0,0,9502;9504;9505,4
2015-10-15,3.0,3.25,25,9583;9584,3
2015-11-12,3.25,3.25,0,9641;9642,3
2015-12-17,3.25,3.5,25,9722;9723,3
